step,loss,lrm,dt
1,9.011081,0.0250,0.448
2,8.999825,0.0500,0.432
3,8.984641,0.0750,0.429
4,8.944326,0.1000,0.432
5,8.893271,0.1250,0.432
6,8.794247,0.1500,0.433
7,8.645220,0.1750,0.443
8,8.417615,0.2000,0.442
9,8.122030,0.2250,0.446
10,7.831575,0.2500,0.436
11,7.518588,0.2750,0.435
12,7.414671,0.3000,0.443
13,7.356133,0.3250,0.432
14,7.317907,0.3500,0.431
15,7.271977,0.3750,0.433
16,7.155747,0.4000,0.438
17,6.915794,0.4250,0.437
18,6.902215,0.4500,0.432
19,6.857904,0.4750,0.432
20,6.714982,0.5000,0.430
21,6.659405,0.5250,0.429
22,6.574291,0.5500,0.444
23,6.639215,0.5750,0.430
24,6.500013,0.6000,0.437
25,6.502010,0.6250,0.430
26,6.501318,0.6500,0.440
27,6.556075,0.6750,0.436
28,6.401778,0.7000,0.432
29,6.397542,0.7250,0.424
30,6.365316,0.7500,0.434
31,6.277055,0.7750,0.431
32,6.424048,0.8000,0.432
33,6.261874,0.8250,0.437
34,6.287142,0.8500,0.441
35,6.204762,0.8750,0.446
36,6.287296,0.9000,0.440
37,6.173403,0.9250,0.443
38,6.108578,0.9500,0.436
39,6.069870,0.9750,0.446
40,6.098267,1.0000,0.440
41,6.085133,1.0000,0.442
42,5.997017,1.0000,0.433
43,6.111436,1.0000,0.439
44,6.006035,1.0000,0.438
45,6.157335,1.0000,0.442
46,6.146374,1.0000,0.443
47,6.231992,1.0000,0.436
48,6.039717,1.0000,0.437
49,6.022244,1.0000,0.446
50,6.050526,1.0000,0.439
51,6.066489,1.0000,0.438
52,5.957961,1.0000,0.434
53,5.784766,1.0000,0.445
54,6.027825,1.0000,0.431
55,6.088134,1.0000,0.450
56,5.869194,1.0000,0.437
57,5.863929,1.0000,0.432
58,5.863948,1.0000,0.444
59,5.920813,1.0000,0.446
60,5.930912,1.0000,0.441
61,6.031543,1.0000,0.434
62,5.862531,1.0000,0.436
63,5.962120,1.0000,0.442
64,5.966104,1.0000,0.447
65,6.087171,1.0000,0.444
66,5.711246,1.0000,0.449
67,5.834515,1.0000,0.448
68,5.905550,1.0000,0.444
69,5.860130,1.0000,0.441
70,5.842832,1.0000,0.446
71,5.784005,1.0000,0.426
72,5.813083,1.0000,0.438
73,5.980720,1.0000,0.440
74,5.840312,1.0000,0.430
75,5.914099,1.0000,0.444
76,5.834474,1.0000,0.442
77,5.859991,1.0000,0.444
78,5.841309,1.0000,0.440
79,5.779983,1.0000,0.427
80,5.820348,1.0000,0.436
81,5.724089,1.0000,0.440
82,5.869541,1.0000,0.446
83,5.725175,1.0000,0.450
84,5.791914,1.0000,0.453
85,5.823521,1.0000,0.442
86,5.663435,1.0000,0.451
87,5.811045,1.0000,0.447
88,5.731242,1.0000,0.437
89,5.741075,1.0000,0.444
90,5.593915,1.0000,0.447
91,5.490205,1.0000,0.432
92,5.601115,1.0000,0.423
93,5.794385,1.0000,0.431
94,5.545617,1.0000,0.435
95,5.670639,1.0000,0.443
96,5.677042,1.0000,0.443
97,5.703773,1.0000,0.441
98,5.633261,1.0000,0.448
99,5.544363,1.0000,0.458
100,5.706188,1.0000,0.451
101,5.530281,1.0000,0.432
102,5.542310,1.0000,0.445
